Ciudad,Nombre,Telefono,Direccion,Calificacion,Num_Resenas,Enlace_Actual,Link_Google_Maps
Ciudad,Universo de Fragancias Polanco,56 1440 4214,,"4,3",74,,https://www.google.com/maps/place/Universo+de+Fragancias+Polanco/data=!4m7!3m6!1s0x85d203154ae500b7:0x69d8dcb37dfd0290!8m2!3d19.4336299!4d-99.2097251!16s%2Fg%2F11jz16hc9v!19sChIJtwDlShUD0oURkAL9fbPc2Gk
Ciudad,Perfumería Dulce Amor,55 6873 2695,,"5,0",25,,https://www.google.com/maps/place/Perfumer%C3%ADa+Dulce+Amor/data=!4m7!3m6!1s0x85d1f90063b19419:0xbc1c502b1ec1eb73!8m2!3d19.4342516!4d-99.1299855!16s%2Fg%2F11zhwcx_2h!19sChIJGZSxYwD50YURc-vBHitQHLw
Ciudad,"Envases Esencias Y Perfumería, S.A. De C.V.",55 5512 9386,,"4,5",511,,"https://www.google.com/maps/place/Envases+Esencias+Y+Perfumer%C3%ADa,+S.A.+De+C.V./data=!4m7!3m6!1s0x85d1f8fd40dea427:0x93e7acdc4d132e5b!8m2!3d19.4358983!4d-99.1388401!16s%2Fg%2F1vlzbq3_!19sChIJJ6TeQP340YURWy4TTdys55M"
Ciudad,Perfumería De La México.,55 5765 5773,,"4,7",70,,https://www.google.com/maps/place/Perfumer%C3%ADa+De+La+M%C3%A9xico./data=!4m7!3m6!1s0x85d1fce5dfbd69b7:0xdcbce2f1fe60d70b!8m2!3d19.4011581!4d-99.040676!16s%2Fg%2F11b72q8flq!19sChIJt2m93-X80YURC9dg_vHivNw
Ciudad,Perfumería Lerdo / Agencia Despacho Mercado Libre,55 5597 2638,,"4,8",27,,https://www.google.com/maps/place/Perfumer%C3%ADa+Lerdo+%2F+Agencia+Despacho+Mercado+Libre/data=!4m7!3m6!1s0x85d1f921904a14b1:0xe640cafe34206360!8m2!3d19.4545639!4d-99.1408649!16s%2Fg%2F11gfm9yhbm!19sChIJsRRKkCH50YURYGMgNP7KQOY
Ciudad,Pasaje de Perfumes Tepito,56 1592 5681,,"4,4",622,,https://www.google.com/maps/place/Pasaje+de+Perfumes+Tepito/data=!4m7!3m6!1s0x85d1f93782f535f3:0xad16f48d3db4178c!8m2!3d19.4446761!4d-99.1260187!16s%2Fg%2F1tf4fcqh!19sChIJ8zX1gjf50YURjBe0PY30Fq0
Ciudad,LA CASA DEL PERFUME,55 7434 1966,,"4,4",28,,https://www.google.com/maps/place/LA+CASA+DEL+PERFUME/data=!4m7!3m6!1s0x85d1f8d826912b5f:0x26349eb35e8eb917!8m2!3d19.4449564!4d-99.1472192!16s%2Fg%2F11b_2sg6nm!19sChIJXyuRJtj40YURF7mOXrOeNCY
Ciudad,Perfumería de Tacuba 13 S.A. De C.V.,55 5510 1815,,"4,3",4953,,https://www.google.com/maps/place/Perfumer%C3%ADa+de+Tacuba+13+S.A.+De+C.V./data=!4m7!3m6!1s0x85d20024833c2eb9:0xd2d678a995f49217!8m2!3d19.4355559!4d-99.1388053!16s%2Fg%2F1tdpmf7r!19sChIJuS48gyQA0oURF5L0lal41tI
Ciudad,PERFUMERÍA ESENCIAL,442 895 5689,,"4,7",1881,,https://www.google.com/maps/place/PERFUMER%C3%8DA+ESENCIAL/data=!4m7!3m6!1s0x85d1f98e756e4749:0x6dd28897b08ac4ec!8m2!3d19.4338542!4d-99.1360382!16s%2Fg%2F11mq3c_7dx!19sChIJSUdudY750YUR7MSKsJeI0m0
Ciudad,Xinú Perfumes,56 1237 6639,,"4,8",301,,https://www.google.com/maps/place/Xin%C3%BA+Perfumes/data=!4m7!3m6!1s0x85d20203d4cef2ab:0xeffdd445fe859576!8m2!3d19.4331926!4d-99.1954663!16s%2Fg%2F11c2jrd4ls!19sChIJq_LO1AMC0oURdpWF_kXU_e8
Ciudad,Ele perfumes zocalo cdmx,55 5522 6099,,"4,6",60,,https://www.google.com/maps/place/Ele+perfumes+zocalo+cdmx/data=!4m7!3m6!1s0x85d1ff9f8a74d0d1:0xfe31d171e0c73e7b!8m2!3d19.4304449!4d-99.1307058!16s%2Fg%2F11j20gzh7q!19sChIJ0dB0ip__0YURez7H4HHRMf4
Ciudad,Perfumería Fina,55 9106 7972,,"4,5",103,,https://www.google.com/maps/place/Perfumer%C3%ADa+Fina/data=!4m7!3m6!1s0x85d1ff15ed5051f7:0x4f3790abb2c7d467!8m2!3d19.42891!4d-99.1345682!16s%2Fg%2F11lf0dmnwr!19sChIJ91FQ7RX_0YURZ9THsquQN08
Ciudad,Lux Perfumería Mx,55 3793 1338,,"4,4",44,,https://www.google.com/maps/place/Lux+Perfumer%C3%ADa+Mx/data=!4m7!3m6!1s0x85d1f904f262284f:0x816691fa0ab86a76!8m2!3d19.4470779!4d-99.1273229!16s%2Fg%2F11sr7h4fmz!19sChIJTyhi8gT50YURdmq4CvqRZoE
Ciudad,Perfumes Centro,222 251 6252,,"4,1",53,,https://www.google.com/maps/place/Perfumes+Centro/data=!4m7!3m6!1s0x85d1f92c8b69f90d:0x3a3addc2cbebd7b1!8m2!3d19.4357268!4d-99.1387986!16s%2Fg%2F11g9qtmmby!19sChIJDflpiyz50YURsdfry8LdOjo
Ciudad,PERFUMERÍA ESENCIAL BOLIVAR,56 2031 7503,,"4,8",723,,https://www.google.com/maps/place/PERFUMER%C3%8DA+ESENCIAL+BOLIVAR/data=!4m7!3m6!1s0x85d1f98fd0915fd9:0x7d6391a40cec51af!8m2!3d19.4332624!4d-99.138198!16s%2Fg%2F11twwhr5fx!19sChIJ2V-R0I_50YURr1HsDKSRY30
Ciudad,Perfume Center México — BODEGA TEPEYAC,55 9064 8230,,"4,6",34,,https://www.google.com/maps/place/Perfume+Center+M%C3%A9xico+%E2%80%94+BODEGA+TEPEYAC/data=!4m7!3m6!1s0x85d1f957aef2e067:0xebc4c8b3cbadc731!8m2!3d19.4673699!4d-99.1116375!16s%2Fg%2F11txrn9bcf!19sChIJZ-Dyrlf50YURMcety7PIxOs
Ciudad,PERFUMERA ESENCIAL 16 DE SEPTIEMBRE,56 1418 1984,,"4,8",521,,https://www.google.com/maps/place/PERFUMERA+ESENCIAL+16+DE+SEPTIEMBRE/data=!4m7!3m6!1s0x85d1ffb5dd8d6821:0xf0c35aa06375b188!8m2!3d19.4323041!4d-99.1357355!16s%2Fg%2F11l78tpqhb!19sChIJIWiN3bX_0YURiLF1Y6Baw_A
Ciudad,Mundo Perfumero,56 3838 0845,,"4,0",139,,https://www.google.com/maps/place/Mundo+Perfumero/data=!4m7!3m6!1s0x85d1ff001edf6b75:0x7e9a0ad9ffd1fff5!8m2!3d19.4294633!4d-99.1358096!16s%2Fg%2F11yb1ff5k1!19sChIJdWvfHgD_0YUR9f_R_9kKmn4
Ciudad,Imperio del Perfume Pino Suárez,55 6178 9115,,"4,9",106,,https://www.google.com/maps/place/Imperio+del+Perfume+Pino+Su%C3%A1rez/data=!4m7!3m6!1s0x85d1ff9872fd88a3:0x600500a127c0495c!8m2!3d19.4269123!4d-99.1330983!16s%2Fg%2F11yrqshcd7!19sChIJo4j9cpj_0YURXEnAJ6EABWA
Ciudad,Perfume Gallery,55 5538 7863,,"4,3",124,,https://www.google.com/maps/place/Perfume+Gallery/data=!4m7!3m6!1s0x85d1ff1983f75145:0x1e88e366966fec05!8m2!3d19.4033124!4d-99.1542427!16s%2Fg%2F11c3tjp30k!19sChIJRVH3gxn_0YURBexvlmbjiB4
Ciudad,El Imperio Del Perfume,55 6201 4560,,"4,8",80,,https://www.google.com/maps/place/El+Imperio+Del+Perfume/data=!4m7!3m6!1s0x85d1f91ae31db56b:0x7a3d2228ae0c3734!8m2!3d19.4350688!4d-99.1361463!16s%2Fg%2F11xf3kswvt!19sChIJa7Ud4xr50YURNDcMrigiPXo
Ciudad,PERFUMERÍA DONCELES,55 6446 0985,,"4,3",84,,https://www.google.com/maps/place/PERFUMER%C3%8DA+DONCELES/data=!4m7!3m6!1s0x85d1f9328033b46f:0x135b4d964551d1ae!8m2!3d19.436329!4d-99.1344385!16s%2Fg%2F1ygvt04y8!19sChIJb7QzgDL50YURrtFRRZZNWxM
Ciudad,PERFUMERIA ESENCIAL MADERO,442 895 5689,,"4,8",53,,https://www.google.com/maps/place/PERFUMERIA+ESENCIAL+MADERO/data=!4m7!3m6!1s0x85d1f9c7a0a1bc63:0x817edc5c924f3661!8m2!3d19.4340614!4d-99.1395088!16s%2Fg%2F11m_8kj9h5!19sChIJY7yhoMf50YURYTZPklzcfoE
Ciudad,Imperio del Perfume Correo Mayor 45,55 4948 5282,,"4,9",45,,https://www.google.com/maps/place/Imperio+del+Perfume+Correo+Mayor+45/data=!4m7!3m6!1s0x85d1ff31b91bcd9f:0xb9c6a4f0722cc322!8m2!3d19.4311395!4d-99.1303895!16s%2Fg%2F11yqgllvd_!19sChIJn80buTH_0YURIsMscvCkxrk
Ciudad,Perfumería Fina Edelweiss,55 5512 0848,,"4,4",34,,https://www.google.com/maps/place/Perfumer%C3%ADa+Fina+Edelweiss/data=!4m7!3m6!1s0x85d1fed982967789:0x6cda3b79f1ff9516!8m2!3d19.4342926!4d-99.1376911!16s%2Fg%2F1thx8zk5!19sChIJiXeWgtn-0YURFpX_8Xk72mw
Ciudad,Universo de Fragancias Coyoacán,56 1033 1886,,"4,4",227,,https://www.google.com/maps/place/Universo+de+Fragancias+Coyoac%C3%A1n/data=!4m7!3m6!1s0x85d1ffdd506e129f:0xf9428a6172520ebd!8m2!3d19.3465878!4d-99.1780032!16s%2Fg%2F11wc34wyn8!19sChIJnxJuUN3_0YURvQ5ScmGKQvk
Ciudad,Universo de Fragancias Zaragoza,55 5162 8253,,"4,3",374,,https://www.google.com/maps/place/Universo+de+Fragancias+Zaragoza/data=!4m7!3m6!1s0x85d1fd0a836ff7a3:0x40c506e169042290!8m2!3d19.4076598!4d-99.0761591!16s%2Fg%2F11h61xd4fs!19sChIJo_dvgwr90YURkCIEaeEGxUA
Ciudad,Universo de Fragancias Insurgentes Sur,55 1315 0360,,"4,2",165,,https://www.google.com/maps/place/Universo+de+Fragancias+Insurgentes+Sur/data=!4m7!3m6!1s0x85ce01d81efa63b5:0x5362ab8379c3272e!8m2!3d19.2882403!4d-99.1749572!16s%2Fg%2F11f716d070!19sChIJtWP6HtgBzoURLifDeYOrYlM
Ciudad,Universo de Fragancias Coapa,56 1027 4824,,"4,4",118,,https://www.google.com/maps/place/Universo+de+Fragancias+Coapa/data=!4m7!3m6!1s0x85ce01665a417f21:0x7348e4ffb7928ce!8m2!3d19.2975262!4d-99.1254877!16s%2Fg%2F11l5tmf712!19sChIJIX9BWmYBzoURzih5-0-ONAc
Ciudad,Tienda perfumes,,,"4,3",605,,https://www.google.com/maps/place/Tienda+perfumes/data=!4m7!3m6!1s0x85d203d6823828c5:0xac9cc8ce4a11680!8m2!3d19.471897!4d-99.2256223!16s%2Fg%2F11j90h8kd2!19sChIJxSg4gtYD0oURgBah5IzMyQo
Ciudad,Universo de Fragancias Patriotismo,55 6317 7935,,"4,2",87,,https://www.google.com/maps/place/Universo+de+Fragancias+Patriotismo/data=!4m7!3m6!1s0x85d1ff516a62b957:0x9e001b572e406af9!8m2!3d19.3807285!4d-99.184746!16s%2Fg%2F11y8stgqyl!19sChIJV7lialH_0YUR-WpALlcbAJ4
